MUKEY,musym,muname,areasymbol,areaname,Corn Yield(bu/Ha),Soybean Yield(bu/Ha),Wheat Yield(bu/Ha),Crop Rotations,Removal Rate,Code,Slope(%),SlopeLength(m),T_factor,K_factor,Sand(%),Silt(%),Clay(%),Organic matter(%),Rainfall_Erosivity,Soil erosion,SCI,Organic Matter factor,Field Operation factor,Soil erosion factor,,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",330,110,,CS,0.52,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.37,0.425,-0.272,0.956,0.757,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",330,110,,CS,0.83,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.7,0.334,-0.47,0.955,0.7,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",330,110,160,CSW,0.00,BgA,1,53,5,0.37,26.5,53.5,20,3,110,0.372,0.72,0.375,0.959,0.932,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",330,110,160,CSW,0.20,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.24,0.524,-0.0161,0.934,0.7842,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",330,110,160,CSW,0.35,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.42,0.477,-0.113,0.93,0.751,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",330,110,160,CSW,0.52,BgA,1,53,5,0.37,26.5,53.5,20,3,110,1.63,0.439,-0.186,0.927,0.713,0,,,,,,
168538,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH033,"Crawford County, Ohio",330,110,160,CSW,0.83,BgA,1,53,5,0.37,26.5,53.5,20,3,110,2.35,0.313,-0.438,0.926,0.589,0,,,,,,
167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH077,"Huron County, Ohio",390,120,,CS,0.00,BgA,2,53,5,0.37,26.5,53.5,20,3,105,0.878,0.64,0.217,0.962,0.842,0,,,,,,
167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH077,"Huron County, Ohio",390,120,,CS,0.20,BgA,2,53,5,0.37,26.5,53.5,20,3,105,1.13,0.562,0.0438,0.962,0.7984,0,,,,,,
167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH077,"Huron County, Ohio",390,120,,CS,0.35,BgA,2,53,5,0.37,26.5,53.5,20,3,105,1.29,0.513,-0.0655,0.961,0.774,0,,,,,,
167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH077,"Huron County, Ohio",390,120,,CS,0.52,BgA,2,53,5,0.37,26.5,53.5,20,3,105,1.89,0.444,-0.181,0.956,0.67,0,,,,,,
167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH077,"Huron County, Ohio",390,120,,CS,0.83,BgA,2,53,5,0.37,26.5,53.5,20,3,105,2.47,0.329,-0.415,0.955,0.565,0,,,,,,
167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH077,"Huron County, Ohio",390,120,150,CSW,0.00,BgA,2,53,5,0.37,26.5,53.5,20,3,105,0.465,0.749,0.453,0.959,0.921,0,,,,,,
167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH077,"Huron County, Ohio",390,120,150,CSW,0.20,BgA,2,53,5,0.37,26.5,53.5,20,3,105,1.88,0.527,0.0494,0.934,0.6682,0,,,,,,
167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH077,"Huron County, Ohio",390,120,150,CSW,0.35,BgA,2,53,5,0.37,26.5,53.5,20,3,105,2.17,0.473,-0.0566,0.93,0.6182,0,,,,,,
167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH077,"Huron County, Ohio",390,120,150,CSW,0.52,BgA,2,53,5,0.37,26.5,53.5,20,3,105,2.51,0.427,-0.139,0.927,0.559,0,,,,,,
167956,BgA,"Bennington silt loam, 0 to 2 percent slopes",OH077,"Huron County, Ohio",390,120,150,CSW,0.83,BgA,2,53,5,0.37,26.5,53.5,20,3,105,3.72,0.276,-0.408,0.926,0.344,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",420,130,,CS,0.00,BgB,4,46,5,0.37,26.5,53.5,20,3,110,1.46,0.649,0.29,0.962,0.744,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",420,130,,CS,0.20,BgB,4,46,5,0.37,26.5,53.5,20,3,110,1.93,0.559,0.106,0.962,0.66,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",420,130,,CS,0.35,BgB,4,46,5,0.37,26.5,53.5,20,3,110,2.25,0.501,-0.0102,0.961,0.606,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",420,130,,CS,0.52,BgB,4,46,5,0.37,26.5,53.5,20,3,110,3.45,0.408,-0.133,0.956,0.394,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",420,130,,CS,0.83,BgB,4,46,5,0.37,26.5,53.5,20,3,110,4.7,0.264,-0.382,0.955,0.175,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",420,130,170,CSW,0.00,BgB,4,46,5,0.37,26.5,53.5,20,3,110,0.666,0.782,0.555,0.959,0.883,0,,,,,,
168539,BgB,"Bennington silt loam, 2 to 6 percent slopes",OH033,"Crawford County, Ohio",420,130,170,CSW,0.20,BgB,4,46,5,0.37,26.5,53.5,20,3,110,3.28,0.506,0.118,0.934,0.424,0,,,,,,
